source_path,source_product_identifier,sku,current_product_id,in_current_keep_set,image_reference_count,valid_image_count,image_complete,exclusion_reason
newel.com/product/set-of-5-american-mid-century-ed-wormley-ebonized-with-striped-upholstery-armchair--.html,Set of 5 American Mid-Century Ed Wormley Ebonized With Striped Upholestory Armchair,REG4008A,product-reg4008a,yes,74,74,yes,
newel.com/product/set-of-6-camille-gauthier-french-art-nouveau-ombelle-foliate-carved-side-chairs.html,Set of 6 Camille Gauthier French Art Nouveau Ombelle Foliate Carved Side Chairs,NWL6949,product-nwl6949,yes,87,87,yes,
newel.com/product/set-of-6-charles-hollis-jones-american-contemporary-clear-and-multi-colored-lucite-dining-side-chairs.html,Set of 6 Charles Hollis Jones American Contemporary Clear and Multi-Colored Lucite Dining Side Chair,REG5385,product-reg5385,yes,53,53,yes,
newel.com/product/set-of-6-jules-leleu-french-art-deco-amboyna-gold-geometric-fabric-upholstered-dining-armchairs.html,Set of 6 Jules Leleu French Art Deco Amboyna Gold Geometric Fabric Upholstered Dining / Armchairs,REG5013,product-reg5013,yes,72,69,yes,
newel.com/product/set-of-8-louis-majorelle-french-art-nouveau-carved-walnut-and-sage-green-muslin-side-chairs.html,Set of 8 Louis Majorelle French Art Nouveau Carved Walnut and Sage Green Muslin Side Chairs,NWL6953,product-nwl6953,yes,84,82,yes,
newel.com/product/set-of-eight-osvaldo-borsani-italian-modern-mahogany-and-brass-dining-chairs.html,Set of Eight Osvaldo Borsani Italian Modern Mahogany and Brass Dining Chairs,REG5534,product-reg5534,yes,66,0,yes,
newel.com/product/set-scroll-back-bentwood-chairs-5.html,Bentwood Hairpin Scroll Café Walnut Side Chairs,064335,product-064335,yes,72,72,yes,
newel.com/product/sheraton-satinwood-cheval-mirror.html,English Sheraton Style Satinwood Cheval Mirror,040081A,product-040081a,yes,60,60,yes,
newel.com/product/siamese-pilaster-temple-figures.html,Pair of Siamese Pilaster Temple Figures,036612,product-036612,yes,36,2,yes,
newel.com/product/Steven-Sebring-American-Contemporary-Red-Chair.html,Steven Sebring American Contemporary Red Chair,NWL7075,product-nwl7075,yes,71,70,yes,
newel.com/product/stig-lindberg-of-gustavsberg-scandinavian-mid-century-floral-ribbon-faience-mirror.html,Stig Lindberg of Gustavsberg Scandinavian Mid-Century Floral Ribbon Faience Mirror,DUA0031,product-dua0031,yes,37,0,yes,
newel.com/product/sue-et-mare-french-art-deco-giltwood-upholstered-bench.html,Sue et Mare French Art Deco Giltwood Upholstered Bench,REG4007,product-reg4007,yes,94,31,yes,
